gobi,YR,NTP,NCC,CSD,Qaidam Basin,Qilian Piedmont
357,984,105.9,258.0995135,265,863.5420545,299.6
362,2232,108.2,258.966533,268,863.556682,1724.8
345,439,108.9,260.0811011,269,863.7706123,1834.2
339,966,110.1,261.1335719,274,864.1503015,422.4
356,1816,110.9,262.2477654,280,866.4172336,274.5
335,2278,119.9,262.8047899,280,870.7229215,434.9
348,914,235.8,262.8666786,282,871.8985513,255.8
365,323,245.5,266.4552038,286,872.7499851,2065.1
350,433,252.9,267.5066345,301,872.88751,1505.3
377,212,259.7,268.1868806,302,873.4131655,444.1
369,236,314.3,268.434225,307,875.4024755,1845.5
350,1768,366,268.7433922,325,876.2221674,310.3
438,253,378.7,269.1143733,329,886.6953902,2503.1
335,232,392.1,274.1823092,333,887.8973625,1943.2
335,315,392.8,274.4294237,335,889.6653182,316.4
359,405,405.2,275.2942499,337,890.2118032,463.6
360,1111,406.6,275.9119118,341,890.3760059,303.3
370,413,406.8,275.9736748,342,892.4222455,450.7
420,425,409.2,276.4059988,344,895.5303618,1060.7
345,303,412.6,276.5295146,346,896.362118,330.5
369,287,412.8,276.5912716,351,897.043688,1932.3
367,76,413.5,278.1350049,352,898.6039499,556.9
351,66,417.6,278.8758656,353,900.8350105,1906.6
372,833,418.6,278.9376002,355,901.6738294,272.7
364,232,419.3,283.6893859,363,902.808619,303.1
320,265,421.5,284.49129,364,904.9705567,1888.3
369,1887,423.7,284.9847198,365,904.9993527,1871.9
320,206,425.9,302.6615798,370,905.1584809,2554.5
342,179,426.1,318.879137,370,905.3237461,1999.1
363,1900,426.5,325.072807,373,905.3680215,1871.7
361,180,429.6,353.7557938,375,905.5397336,1886.3
353,269,429.8,363.3291195,378,905.6360285,1899.7
350,2605,432.3,372.4623479,379,906.156159,267.2
360,882,440.8,389.7799131,380,906.4817257,276.3
344,2855,443.6,392.3280468,383,906.6929437,466.9
336,280,443.7,423.4310329,385,906.7287362,738.9
332,380,452.6,430.0075603,388,907.5093591,430.7
366,373,460.6,430.4296769,391,908.475572,1693.7
1507,98,464.7,431.4547022,395,910.4849877,2441.4
349,257,471.4,436.2159176,396,910.8089507,449.6
373,396,498.3,437.7821311,399,911.3339134,482.3
346,105,542.4,439.9501064,399,911.4243901,1813.9
346,203,717.6,449.3362498,400,912.0170747,1767
344,1736,726.1,458.9488879,401,912.0338848,434.5
328,457,733.9,459.0089219,403,912.1063628,1865.7
332,382,788.8,461.8298865,406,913.1814955,299.7
347,1990,790.8,466.1489715,406,913.4626917,302.9
