JX,LC,LD,BGY,XF,LNT,JBN,ZTS,HMG,LT,WN,CX,GH,XN
2555.0,1790.0,331.0,393.1,170.0,407.0,662.8,393.0,1902.33078066221,1856.0,,625.0,,289.0
2337.0,274.0,1490.0,762.7,456.0,503.0,413.3,446.0,226.041211734787,334.4,,472.0,,467.0
1883.0,2342.0,2705.0,257.7,453.0,428.0,294.2,277.0,2482.606751368,807.1,,462.0,,274.0
1867.0,431.0,489.0,414.7,1234.0,408.0,290.7,225.0,511.009025485667,947.1,,255.0,,472.0
2310.0,587.0,297.0,454.7,1778.0,290.0,852.5,229.0,442.328769734477,433.7,,436.0,,417.0
2188.0,498.0,1996.0,326.6,2244.0,467.0,1860.0,2494.0,307.878747791163,1576.3,,806.0,,447.0
1934.0,191.0,250.0,521.9,937.0,734.0,2453.4,2508.0,966.509590140265,722.9,,482.0,,452.0
716.0,316.0,388.0,1818.5,2477.0,479.0,291.0,2189.0,763.660383925086,760.3,,840.0,,230.0
335.0,263.0,289.0,450.8,1949.0,1098.0,594.9,262.0,458.974160339588,481.2,,491.0,,460.0
2404.0,264.0,1421.0,416.4,2583.0,307.0,2490.6,297.0,263.448915412319,1903.0,,2542.0,,259.0
272.0,474.0,401.0,309.5,436.0,434.0,279.8,444.0,945.514891568125,431.0,,2545.0,,2555.0
2442.0,1871.0,967.0,383.5,479.0,505.0,678.1,273.0,975.725442660703,379.0,,2433.0,,248.0
2439.0,416.0,854.0,401.4,252.0,414.0,451.7,276.0,467.042086639213,1130.0,,507.0,,203.0
414.0,199.0,226.0,442.8,849.0,211.0,462.5,1855.0,1827.02269150862,2455.0,,545.0,,262.0
305.0,39.0,412.0,265.5,274.0,623.0,277.5,429.0,1575.76507122049,437.6,,2522.0,,258.0
2237.0,102.0,452.0,418.0,309.0,251.0,759.4,289.0,479.979823277792,657.6,,437.0,,296.0
2202.0,170.0,462.0,289.8,287.0,294.0,1811.3,2556.0,2433.88853776701,56.2,,63.0,,236.0
1027.0,765.0,451.0,386.3,310.0,2390.0,427.0,441.0,116.397395105597,3044.2,,1802.0,,757.0
477.0,288.0,266.0,1864.1,445.0,2265.0,1787.1,1775.0,234.2560881673,1750.0,,320.0,,438.0
253.0,574.0,534.0,326.2,1687.0,207.0,2508.6,2514.0,464.955966826473,463.4,,453.0,,1869.0
299.0,2513.0,770.0,267.0,776.0,1776.0,283.0,248.0,869.4193967732,2329.5,,429.0,,257.0
1536.0,1889.0,447.0,288.7,2466.0,588.0,294.1,473.0,2690.392617027,915.1,,254.0,,1699.0
2225.0,594.0,979.0,2444.7,88.0,753.0,1732.1,260.0,746.723693618768,265.4,,990.0,,294.0
1694.0,390.0,229.0,268.8,965.0,221.0,314.5,678.0,986.716090784927,898.6,,523.0,,440.0
941.0,403.0,296.0,456.0,476.0,709.0,2448.2,245.0,798.814380124889,776.8,,2485.0,,428.0
1832.0,482.0,460.0,309.3,2582.0,281.0,418.8,2462.0,305.934226605093,296.4,,280.0,,463.0
409.0,192.0,401.0,228.1,2026.0,107.0,2149.1,516.0,440.704630780362,602.5,,1179.0,,449.0
1456.0,801.0,510.0,1603.7,1231.0,337.0,1952.2,1950.0,424.917627322602,446.7,,456.0,,1733.0
1643.0,1488.0,243.0,261.1,262.0,647.0,1922.7,398.0,1153.27228866868,128.0,,2405.0,,2396.0
797.0,234.0,1972.0,512.2,2414.0,243.0,2454.9,302.0,1889.62313499535,284.7,,1465.0,,227.0
1309.0,362.0,2068.0,480.5,468.0,671.0,232.7,1420.0,1800.26832941038,679.6,,2487.0,,441.0
908.0,504.0,263.0,250.4,495.0,445.0,278.6,1824.0,1764.35677450653,427.5,,1179.0,,403.0
268.0,382.0,434.0,324.0,1807.0,151.0,1974.4,1782.0,501.975602476183,440.2,,787.0,,534.0
1344.0,403.0,1394.0,515.8,533.0,1506.0,233.8,924.0,1011.33818250451,671.6,,2068.0,,260.0
1849.0,2706.0,1772.0,913.6,240.0,865.0,1712.4,251.0,1066.05031852367,265.7,,1841.0,,464.0
930.0,470.0,1083.0,1528.5,110.0,1904.0,234.1,1111.0,446.165207267882,453.1,,423.0,,1433.0
1810.0,471.0,1161.0,1842.6,435.0,338.0,1876.4,266.0,261.835032349087,463.2,,968.0,,892.0
354.0,468.0,570.0,1147.9,766.0,147.0,421.0,2475.0,2346.60496356848,797.3,,2197.0,,1993.0
703.0,859.0,478.0,704.7,1658.0,452.0,281.0,2471.0,407.880756120212,358.1,,403.0,,396.0
1716.0,448.0,231.0,2631.8,800.0,191.0,272.6,413.0,284.798322674474,196.6,,962.0,,327.0
1232.0,781.0,2101.0,3072.9,891.0,12.2,433.1,323.0,232.400124968762,535.5,,262.0,,2489.0
249.0,592.0,269.0,1935.7,422.0,355.0,477.3,1959.0,948.107129506925,235.6,,249.0,,1831.0
1875.0,1099.0,1780.0,430.4,89.0,1652.0,1876.4,470.0,244.192721490335,406.1,,442.0,,431.0
278.0,440.0,282.0,278.8,447.0,379.0,449.4,2539.0,275.487589437328,1119.4,,1788.0,,1976.0
914.0,2657.0,415.0,1538.2,378.0,659.0,260.5,1849.0,1809.97686849827,1894.8,,186.0,,440.0
654.0,897.0,2112.0,419.7,342.0,1130.0,1864.5,154.0,466.247604725431,421.9,,2590.0,,406.0
405.0,1110.0,916.0,879.7,310.0,33.1,899.3,2483.0,238.813648155143,511.3,,1924.0,,259.0
2096.0,388.0,2157.0,470.0,1081.0,435.0,472.7,2410.0,252.659317561022,1856.4,,706.0,,297.0
463.0,416.0,431.0,458.2,2072.0,980.0,2501.6,419.0,409.491934129887,298.4,,1735.0,,402.0
1907.0,554.0,420.0,483.2,469.0,229.0,266.0,312.0,483.224355923437,461.2,,1693.0,,193.0
367.0,291.0,476.0,1314.2,1551.0,842.0,972.2,707.0,1801.29995143697,2039.5,,326.0,,459.0
816.0,529.0,464.0,751.9,1592.0,243.0,266.4,374.0,472.252966738718,964.2,,2023.0,,1604.0
1077.0,263.0,1797.0,457.8,248.0,382.0,461.2,1690.0,269.287329828833,1406.5,,292.0,,2536.0
1102.0,968.0,31.0,2528.0,433.0,412.0,2372.2,2395.0,798.828489337966,1557.7,,251.0,,271.0
1845.0,164.0,866.0,953.2,827.0,420.0,259.8,298.0,1325.31699852769,191.2,,326.0,,892.0
2571.0,902.0,227.0,826.5,842.0,252.0,1620.9,2361.0,249.310820793246,1371.1,,870.0,,438.0
415.0,272.0,689.0,346.7,2143.0,264.0,1486.7,2426.0,278.375051097971,1349.2,,1021.0,,1843.0
17.6,251.0,410.0,474.2,557.0,880.0,2633.4,1599.0,484.446056956186,966.9,,503.0,,451.0
288.0,932.0,1886.0,412.3,1998.0,441.0,239.5,2564.0,817.731674231843,259.3,,655.0,,425.0
700.0,481.0,112.0,918.8,275.0,856.0,435.4,397.0,453.18658590318,377.3,,1766.0,,437.0
2179.0,1970.0,686.0,431.3,1750.0,174.0,253.4,229.0,439.23754061045,244.8,,470.0,,188.0
